Birth Rate,Business Tax Rate,CO2 Emissions,Country,Date,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound
0.016014,,4620.42,Uruguay,2002-12-01,,,2538.084,13606494599.021,0.109724588634492,448.675992046658,,0.013699999999999999,0.114194701966853,1.1837994083333299,78.861,71.491,0.15432847483095402,0.243073177337646,0.624043579101563,0.132884149551392,3327500,0.92569,The Americas,409000000.0,243000000.0
0.022987999999999998,,193261.901,"Venezuela, RB",2002-12-01,,,57514.559,92889586976.1833,0.0565358912744997,207.297480179251,,0.0172,0.049104463272032495,0.365775,75.748,69.846,0.258229715435085,0.327364120483398,0.6254397583007809,0.0471960544586182,25333622,0.88438,The Americas,484000000.0,1546000000.0
0.015099999999999999,,,Virgin Islands (U.S.),2002-12-01,,,,,,,,,0.274944323774436,,81.2,75.0,0.416428400140193,0.245715808868408,0.661793746948242,0.09250889778137211,108208,0.93036,The Americas,1195000000.0,
0.019752,,92533.078,Algeria,2003-12-01,25.0,,30697.521,67863832648.2897,0.036010267352113504,74.0466870747245,,0.0313,0.0219535973086144,0.08125,71.114,67.936,0.043841699905119,0.306965560913086,0.650946273803711,0.0420881271362305,33003442,0.62284,Africa,112000000.0,255000000.0
0.049798999999999996,,9064.824,Angola,2003-12-01,119.0,,9003.654,14188949239.8095,0.0493052306531915,44.621892265134,,0.1245,0.00370682065225727,0.96115,48.793,46.06,0.022696212812660602,0.477079963684082,0.49830188751220705,0.0246179986000061,15421075,0.34645000000000004,Africa,63000000.0,49000000.0
0.04145,,2321.211,Benin,2003-12-01,32.0,,2385.508,3557229701.87707,0.0463057858292624,21.4884084751464,,0.0818,0.00951327114915695,,57.906,54.591,0.0308093957992773,0.44946872711181596,0.522274131774902,0.0282569813728333,7665681,0.39297,Africa,108000000.0,53000000.0
0.026022,,4264.721,Botswana,2003-12-01,107.0,,1906.828,7511538764.70587,0.0430510913305559,189.974174770841,,0.051,0.033451901740614,0.16399999999999998,48.46,47.065,0.242812132694388,0.36653839111328096,0.6024816131591799,0.030977811813354503,1832602,0.5460699999999999,Africa,459000000.0,235000000.0
0.045499000000000005,,1078.098,Burkina Faso,2003-12-01,40.0,,,4205691121.78985,0.055234201127847105,18.6325706899713,,0.09140000000000001,0.00373440303233526,,52.723,50.76,0.0188081509202165,0.46612884521484405,0.507565956115723,0.026305217742919898,12659086,0.19996,Africa,38000000.0,50000000.0
0.042781,,165.015,Burundi,2003-12-01,13.0,,,784654423.603171,0.0716128189802693,5.87033327980352,,0.08220000000000001,0.00201273196735924,0.18230833333333302,50.44,47.935,0.00881016031738602,0.468308219909668,0.503616828918457,0.0280749535560608,7264340,0.08907999999999999,Africa,1200000.0,15000000.0
0.040787,,3795.345,Cameroon,2003-12-01,45.0,,6765.839,13621809574.3326,0.049253548069448004,38.9543950204065,,0.0836,0.00587622611130454,0.18,52.561,50.761,0.062531654109726,0.446915473937988,0.519644317626953,0.0334400939941406,17223277,0.47338,Africa,266000000.0,272000000.0
0.038221,,234.688,Central African Republic,2003-12-01,22.0,,,1139754771.91102,0.043685155086025,12.9967080970203,,0.112,0.00151563337940017,0.18,45.803,42.72,0.010444856900238,0.420991706848145,0.539248123168945,0.0397599148750305,3829636,0.37884,Africa,4000000.0,31000000.0
